Event.ID,Species.ID,Species_ID_gbif,Class_gbif,Family_gbif,Movement.type,Movement.sub.type,Movement.Measure,Value,Units,Statistic,Variance,Variance_type,Grouping.level,Sampling.method,New.Sampling.Method,Aggregation.level,N,Speed.continuous..y.n.,Temporal.scale.interval,Inference.method,Movement.Mode,Body.mass,Body.mass.Units,Body.mass.measured..y.n.,Sex,Lifestage,Diet,Study.type,MetaRef,Reference,Reference.full,Reference.DOI,Body.Mass.Ref,Body.mass.source,Movement.Mode.Ref,Diet.Ref,Comments,Method_comments,Location,Lat,Long,"Class_gbif == ""Aves""",is.na(Class_gbif)
1868,Bucephala albeola,Bucephala albeola,Aves,Anatidae,Dispersal,Natal,Distance,4500,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,NA,NA,NA,NA,Flying,334,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Gauthier 1993,"Gauthier, G. 1993. Bufflehead, Bucephala albeola. In A.  Poole and F. Gill, editors. The Birds of North America. Number 67. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA,TRUE,FALSE
1869,Lophodytes cucullatus,Lophodytes cucullatus,Aves,Anatidae,Dispersal,Natal,Distance,5600,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,NA,NA,NA,NA,Flying,680,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Dugger et al. 1994,"Dugger, B. D., K. M. Dugger, and L. H. Fredrickson. 1994. Hooded Merganser, Lophodytes cucullatus. In A.  Poole and F. Gill, editors. The Birds of North America. Number 98. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA,TRUE,FALSE
1871,Eudocimus albus,Eudocimus albus,Aves,Threskiornithidae,Dispersal,Natal,Distance,100000,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,NA,NA,NA,NA,Flying,1040,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Kushlan and Bildstein 1992,"Kushlan, J. A. and K. L. Bildstein. 1992. White Ibis. in The Birds of North America, No. 9 (A. Poole, P. Stettenheim, and F Gill, Eds.). The Academy of Nat- ural Sciences, Philadelphia, PA and The American Ornithologists' Union, Washington, D.C.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Assuming ringed,NA,NA,NA,TRUE,FALSE
1873,Elanus leucurus,Elanus leucurus,Aves,Accipitridae,Dispersal,Natal,Distance,160000,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,NA,NA,NA,NA,Flying,325,g,NA,Both,NA,Carnivore,Metastudy,Sutherland et al. 2000,Dunk 1995,"Dunk, J. R. 1995. White-tailed Kite, Elanus leucurus. In A.  Poole and F. Gill, editors. The Birds of North America. Number 178. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA,TRUE,FALSE
1878,Accipiter cooperi,Accipiter cooperii,Aves,Accipitridae,Dispersal,Natal,Distance,35200,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,6,NA,NA,NA,Flying,349,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Rosenfield and Bielefeldt 1992,"Rosenfield, R. N., and J. Bielefeldt. 1992. Natal dispersal  and inbreeding in the Cooper's Hawk. Wilson Bulletin 104:  182-184.",https://sora.unm.edu/sites/default/files/journals/wilson/v104n01/p0182-p0184.pdf,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1879,Accipiter cooperi,Accipiter cooperii,Aves,Accipitridae,Dispersal,Natal,Distance,9200,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,6,NA,NA,NA,Flying,349,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Rosenfield and Bielefeldt 1992,"Rosenfield, R. N., and J. Bielefeldt. 1992. Natal dispersal  and inbreeding in the Cooper's Hawk. Wilson Bulletin 104:  182-184.",https://sora.unm.edu/sites/default/files/journals/wilson/v104n01/p0182-p0184.pdf,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1881,Accipiter nisus,Accipiter nisus,Aves,Accipitridae,Dispersal,Natal,Distance,108000,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,99,NA,NA,NA,Flying,150,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Newton and Marquiss 1983,"Newton, I., and M. Marquiss. 1983. Dispersal of  sparrowhawks between birthplace and breeding place.  Journal of Animal Ecology 52: 463-477.",https://doi.org/10.2307/4566,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1882,Accipiter nisus,Accipiter nisus,Aves,Accipitridae,Dispersal,Natal,Distance,9000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,99,NA,NA,NA,Flying,150,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Newton and Marquiss 1983,"Newton, I., and M. Marquiss. 1983. Dispersal of  sparrowhawks between birthplace and breeding place.  Journal of Animal Ecology 52: 463-477.",https://doi.org/10.2307/4566,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1883,Accipiter nisus,Accipiter nisus,Aves,Accipitridae,Dispersal,Natal,Distance,166000,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,65,NA,NA,NA,Flying,280,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Newton and Marquiss 1983,"Newton, I., and M. Marquiss. 1983. Dispersal of  sparrowhawks between birthplace and breeding place.  Journal of Animal Ecology 52: 463-477.",https://doi.org/10.2307/4566,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1884,Accipiter nisus,Accipiter nisus,Aves,Accipitridae,Dispersal,Natal,Distance,18500,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,65,NA,NA,NA,Flying,280,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Newton and Marquiss 1983,"Newton, I., and M. Marquiss. 1983. Dispersal of  sparrowhawks between birthplace and breeding place.  Journal of Animal Ecology 52: 463-477.",https://doi.org/10.2307/4566,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1885,Parabuteo unicinctus,Parabuteo unicinctus,Aves,Accipitridae,Dispersal,Natal,Distance,160000,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,NA,NA,NA,NA,Flying,690,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Bednarz 1995,"Bednarz, J. C. 1995. Harris' Hawk, Parabuteo unicinctus. In A. Poole and F. Gill, editors. The Birds of North America. Number 146. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA,TRUE,FALSE
1887,Buteo lineatus,Buteo lineatus,Aves,Accipitridae,Dispersal,Natal,Distance,24000,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,4,NA,NA,NA,Flying,475,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Crocoll 1994,"Crocoll, S. T. 1994. Red-shouldered Hawk, Buteo lineatus. In A. Poole and F. Gill, editors. The Birds of North America. Number 107. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA,TRUE,FALSE
1889,Buteo swainsoni,Buteo swainsoni,Aves,Accipitridae,Dispersal,Natal,Distance,320000,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,46,NA,NA,NA,Flying,1069,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Preston and Beane 1993,"Preston, C. R., and R. D. Beane. 1993. Red-tailed Hawk,  Buteo jamaicensis. In A. Poole and F. Gill, editors. The  Birds of North America. Number 52. Academy of Natural  Sciences, Philadelphia, Pennsylvania, USA, and American  Ornithologists' Union, Washington, D.C., USA.",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA,TRUE,FALSE
1890,Aquila adalberti,Aquila adalberti,Aves,Accipitridae,Dispersal,Natal,Distance,430000,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,24,NA,NA,NA,Flying,3000,g,NA,Both,NA,Carnivore,Metastudy,Sutherland et al. 2000,Ferrer 1993,"Ferrer, M. 1993. Ontogeny of dispersal distances in young  Spanish Imperial Eagles. Behavioral Ecology and  Sociobiology 32: 259-263.",https://www.jstor.org/stable/4600813,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Radio-tagged,NA,NA,NA,TRUE,FALSE
1891,Aquila adalberti,Aquila adalberti,Aves,Accipitridae,Dispersal,Natal,Distance,100000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,24,NA,NA,NA,Flying,3000,g,NA,Both,NA,Carnivore,Metastudy,Sutherland et al. 2000,Ferrer 1993,"Ferrer, M. 1993. Ontogeny of dispersal distances in young  Spanish Imperial Eagles. Behavioral Ecology and  Sociobiology 32: 259-263.",https://www.jstor.org/stable/4600813,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1892,Falco peregrinus,Falco peregrinus,Aves,Falconidae,Dispersal,Natal,Distance,357000,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Cross-study,11,NA,NA,NA,Flying,611,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Mearns and Newton 1982,"Mearns, R., and I. Newton. 1984. Turnover and dispersal  in a peregrine Falco peregrinus population. Ibis 126: 347- 355.",https://doi.org/10.1111/j.1474-919X.1984.tb00255.x,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,The other ref included in this was for a different species (Falco columbarius),NA,NA,NA,NA,TRUE,FALSE
1893,Falco peregrinus,Falco peregrinus,Aves,Falconidae,Dispersal,Natal,Distance,58000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Cross-study,11,NA,NA,NA,Flying,611,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Mearns and Newton 1982,"Mearns, R., and I. Newton. 1984. Turnover and dispersal  in a peregrine Falco peregrinus population. Ibis 126: 347- 355.",https://doi.org/10.1111/j.1474-919X.1984.tb00255.x,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,The other ref included in this was for a different species (Falco columbarius),NA,NA,NA,NA,TRUE,FALSE
1894,Falco peregrinus,Falco peregrinus,Aves,Falconidae,Dispersal,Natal,Distance,324000,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Cross-study,NA,NA,NA,NA,Flying,952,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Mearns and Newton 1982,"Mearns, R., and I. Newton. 1984. Turnover and dispersal  in a peregrine Falco peregrinus population. Ibis 126: 347- 355.",https://doi.org/10.1111/j.1474-919X.1984.tb00255.x,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,The other ref included in this was for a different species (Falco columbarius),NA,NA,NA,NA,TRUE,FALSE
1895,Falco peregrinus,Falco peregrinus,Aves,Falconidae,Dispersal,Natal,Distance,83000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Cross-study,NA,NA,NA,NA,Flying,952,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Mearns and Newton 1982,"Mearns, R., and I. Newton. 1984. Turnover and dispersal  in a peregrine Falco peregrinus population. Ibis 126: 347- 355.",https://doi.org/10.1111/j.1474-919X.1984.tb00255.x,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,The other ref included in this was for a different species (Falco columbarius),NA,NA,NA,NA,TRUE,FALSE
1896,Falco sparverius,Falco sparverius,Aves,Falconidae,Dispersal,Natal,Distance,32450.000000000004,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,NA,NA,NA,NA,Flying,111,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Miller and Smallwood 1997,"Miller, K. E., and J. A. Smallwood. 1997. Natal dispersal  and philopatry of southeastern American Kestrels in Florida.  Wilson Bulletin 109: 226-232.",https://sora.unm.edu/sites/default/files/journals/wilson/v109n02/p0226-p0232.pdf,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Colour bands and tags,NA,NA,NA,TRUE,FALSE
1897,Falco sparverius,Falco sparverius,Aves,Falconidae,Dispersal,Natal,Distance,4800,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,NA,NA,NA,NA,Flying,111,g,NA,Male,NA,Carnivore,Metastudy,Sutherland et al. 2000,Miller and Smallwood 1997,"Miller, K. E., and J. A. Smallwood. 1997. Natal dispersal  and philopatry of southeastern American Kestrels in Florida.  Wilson Bulletin 109: 226-232.",https://sora.unm.edu/sites/default/files/journals/wilson/v109n02/p0226-p0232.pdf,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1898,Falco sparverius,Falco sparverius,Aves,Falconidae,Dispersal,Natal,Distance,38790,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,21,NA,NA,NA,Flying,120,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Miller and Smallwood 1997,"Miller, K. E., and J. A. Smallwood. 1997. Natal dispersal  and philopatry of southeastern American Kestrels in Florida.  Wilson Bulletin 109: 226-232.",https://sora.unm.edu/sites/default/files/journals/wilson/v109n02/p0226-p0232.pdf,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1899,Falco sparverius,Falco sparverius,Aves,Falconidae,Dispersal,Natal,Distance,5060,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,21,NA,NA,NA,Flying,120,g,NA,Female,NA,Carnivore,Metastudy,Sutherland et al. 2000,Miller and Smallwood 1997,"Miller, K. E., and J. A. Smallwood. 1997. Natal dispersal  and philopatry of southeastern American Kestrels in Florida.  Wilson Bulletin 109: 226-232.",https://sora.unm.edu/sites/default/files/journals/wilson/v109n02/p0226-p0232.pdf,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1910,Tympanuchus cupido,Tympanuchus cupido,Aves,Phasianidae,Dispersal,Natal,Distance,10800,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,24,NA,NA,NA,Flying,999,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Bowman and Robel 1977,"Bowman, T. J., and R. J. Robel. 1977. Brood break-up,  dispersal, mobility, and mortality of juvenile prairie  chickens. Journal of Wildlife Management 41: 27-34.",https://doi.org/10.2307/3800087,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,"Captured, banded and fitted with radio transmitters",NA,NA,NA,TRUE,FALSE
1911,Tympanuchus cupido,Tympanuchus cupido,Aves,Phasianidae,Dispersal,Natal,Distance,1000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,24,NA,NA,NA,Flying,999,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Bowman and Robel 1977,"Bowman, T. J., and R. J. Robel. 1977. Brood break-up,  dispersal, mobility, and mortality of juvenile prairie  chickens. Journal of Wildlife Management 41: 27-34.",https://doi.org/10.2307/3800087,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1914,Meleagris gallopavo,Meleagris gallopavo,Aves,Phasianidae,Dispersal,Natal,Distance,48000,m,Maximum,NA,NA,NA,Single observation,Unknown,Individual,NA,NA,NA,NA,Flying,4220,g,NA,Female,NA,Omnivore,Metastudy,Sutherland et al. 2000,Eaton 1992,"Eaton, S. W. 1992. Wild Turkey, Meleagris gallopavo. In A. Poole and F. Gill, editors. The Birds of North America. Number 22. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA",NA,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Couldn't find reference - Can we assume ringed?,NA,NA,NA,TRUE,FALSE
1915,Lagopus leucurus,Lagopus leucura,Aves,Phasianidae,Dispersal,Natal,Distance,7500,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,258,NA,NA,NA,Flying,359,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Giesen and Braun 1993,"Giesen, K. M., and C. E. Braun. 1993. Natal dispersal and  recruitment of juvenile White-tailed Ptarmigan in Colorado.  Journal of Wildlife Management 57: 72-77.",https://doi.org/10.2307/3809002,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Banded,NA,NA,NA,TRUE,FALSE
1916,Lagopus leucurus,Lagopus leucura,Aves,Phasianidae,Dispersal,Natal,Distance,1000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,258,NA,NA,NA,Flying,359,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Giesen and Braun 1993,"Giesen, K. M., and C. E. Braun. 1993. Natal dispersal and  recruitment of juvenile White-tailed Ptarmigan in Colorado.  Journal of Wildlife Management 57: 72-77.",https://doi.org/10.2307/3809002,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1917,Lagopus leucurus,Lagopus leucura,Aves,Phasianidae,Dispersal,Natal,Distance,29000,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,68,NA,NA,NA,Flying,516,g,NA,Female,NA,Herbivore,Metastudy,Sutherland et al. 2000,Giesen and Braun 1993,"Giesen, K. M., and C. E. Braun. 1993. Natal dispersal and  recruitment of juvenile White-tailed Ptarmigan in Colorado.  Journal of Wildlife Management 57: 72-77.",https://doi.org/10.2307/3809002,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1918,Lagopus leucurus,Lagopus leucura,Aves,Phasianidae,Dispersal,Natal,Distance,4000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,68,NA,NA,NA,Flying,516,g,NA,Female,NA,Herbivore,Metastudy,Sutherland et al. 2000,Giesen and Braun 1993,"Giesen, K. M., and C. E. Braun. 1993. Natal dispersal and  recruitment of juvenile White-tailed Ptarmigan in Colorado.  Journal of Wildlife Management 57: 72-77.",https://doi.org/10.2307/3809002,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1919,Lagopus lagopus,Lagopus lagopus,Aves,Phasianidae,Dispersal,Natal,Distance,4000,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,60,NA,NA,NA,Flying,601,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Martin and Hannon 1987,"Martin, K., and S. J. Hannon. 1987. Natal philopatry and  recruitment of willow ptarmigan in north central and  northwestern Canada. Oecologia 71: 518-524.",https://doi.org/10.1007/BF00379290,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,Tagged,NA,NA,NA,TRUE,FALSE
1920,Lagopus lagopus,Lagopus lagopus,Aves,Phasianidae,Dispersal,Natal,Distance,1000,m,Median,NA,NA,NA,Distance-density distribution,Unknown,Single study,60,NA,NA,NA,Flying,601,g,NA,Male,NA,Herbivore,Metastudy,Sutherland et al. 2000,Martin and Hannon 1987,"Martin, K., and S. J. Hannon. 1987. Natal philopatry and  recruitment of willow ptarmigan in north central and  northwestern Canada. Oecologia 71: 518-524.",https://doi.org/10.1007/BF00379290,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
1921,Lagopus lagopus,Lagopus lagopus,Aves,Phasianidae,Dispersal,Natal,Distance,7500,m,Maximum,NA,NA,NA,Distance-density distribution,Unknown,Single study,17,NA,NA,NA,Flying,516,g,NA,Female,NA,Herbivore,Metastudy,Sutherland et al. 2000,Martin and Hannon 1987,"Martin, K., and S. J. Hannon. 1987. Natal philopatry and  recruitment of willow ptarmigan in north central and  northwestern Canada. Oecologia 71: 518-524.",https://doi.org/10.1007/BF00379290,NA,Sutherland et al. 2000,Inferred from Class:  Aves,NA,NA,NA,NA,NA,NA,TRUE,FALSE
